Date,Close,High,Low,Open,Volume
1980-12-12,0.09883446991443634,0.09926416115370361,0.09883446991443634,0.09883446991443634,469033600
1980-12-15,0.09367823600769043,0.09410792734237952,0.09367823600769043,0.09410792734237952,175884800
1980-12-16,0.08680246770381927,0.08723215338015808,0.08680246770381927,0.08723215338015808,105728000
1980-12-17,0.08895082771778107,0.0893805187457562,0.08895082771778107,0.08895082771778107,86441600
1980-12-18,0.09152980148792267,0.09195948710848395,0.09152980148792267,0.09152980148792267,73449600
1980-12-19,0.09711571782827377,0.09754540907371882,0.09711571782827377,0.09711571782827377,48630400
1980-12-22,0.10184229165315628,0.10227275167092632,0.10184229165315628,0.10184229165315628,37363200
1980-12-23,0.10613998025655746,0.10656967164306953,0.10613998025655746,0.10613998025655746,46950400
1980-12-24,0.11172591149806976,0.11215560279858973,0.11172591149806976,0.11172591149806976,48003200
1980-12-26,0.12203919142484665,0.1224688826857932,0.12203919142484665,0.12203919142484665,55574400
1980-12-29,0.12375792860984802,0.12418761981390837,0.12375792860984802,0.12375792860984802,93161600
1980-12-30,0.12075012922286987,0.12117980900954323,0.12075012922286987,0.12117980900954323,68880000
1980-12-31,0.11731262505054474,0.11774231632274394,0.11731262505054474,0.11774231632274394,35750400
1981-01-02,0.1186017245054245,0.11946110731874157,0.1186017245054245,0.1186017245054245,21660800
1981-01-05,0.11602359265089035,0.11645327255932593,0.11602359265089035,0.11645327255932593,35728000
1981-01-06,0.1108664944767952,0.11129618564391083,0.1108664944767952,0.11129618564391083,45158400
1981-01-07,0.10613998025655746,0.10656967164306953,0.10613998025655746,0.10656967164306953,55686400
1981-01-08,0.10399151593446732,0.10442119572096865,0.1039915159344673,0.10442119572096865,39827200
1981-01-09,0.10957744717597961,0.11000713840084055,0.10957744717597961,0.10957744717597961,21504000
1981-01-12,0.10871808230876923,0.10957745333212102,0.10871808230876923,0.10957745333212102,23699200
1981-01-13,0.10485085844993591,0.10528054959416014,0.10485085844993591,0.10528054959416014,23049600
