Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05448540868988761,0.06249804106946663,0.05448540868988761,0.05982675403356552,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.059826748317491456,0.06303216958150228,0.059826748317491456,0.0619632862508297,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.06196326726538611,0.06356628458823137,0.06196326726538611,0.06303215026855469,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06303218347094702,0.06356631807198071,0.060895030702673436,0.06142916530370712,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.061429140017735535,0.06196327439890441,0.05982673687422893,0.0603608712553978,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.060360862907141204,0.060360862907141204,0.058224325677961195,0.058758459985256195,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.058758474381337154,0.05982674325765767,0.05608780219053587,0.057156071066856384,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05715608204543789,0.05715608204543789,0.055019543882409074,0.055553678423166275,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.055553651748830965,0.05662192031741142,0.055019517464540736,0.05662192031741142,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.056621935748560726,0.058758473467991255,0.05608780131870309,0.05822433903813362,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05822431621666974,0.05929258465766906,0.05822431621666974,0.05929258465766907,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.0592925942925512,0.0592925942925512,0.057690191370666194,0.058758459985256195,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.058758473467991255,0.058758473467991255,0.05822433903813362,0.05822433903813362,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.058224325677961195,0.0598267285998462,0.058224325677961195,0.058758459985256195,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05929258465766906,0.060894987319168044,0.05929258465766906,0.05929258465766907,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05929258465766906,0.05982671887816872,0.05929258465766906,0.05929258465766907,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.05929260789784889,0.05982674232770652,0.05715607017841836,0.05822433903813362,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.058224325677961195,0.0598267285998462,0.058224325677961195,0.058758459985256195,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.05875848496482994,0.06036088856793331,0.05875848496482994,0.05982675403356552,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.05982673687422893,0.06089500563656667,0.0587584681118912,0.0603608712553978,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.060895030702673436,0.062498048869913336,0.060895030702673436,0.06142916530370712,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.06142915176749513,0.06249803509816771,0.06142915176749513,0.0619632862508297,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.0619632862508297,0.0619632862508297,0.059826748317491456,0.0619632862508297,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.0619633062315365,0.06463459387359699,0.06142917157596471,0.06410045921802521,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06410041976132766,0.06463455408811569,0.06410041976132766,0.06463455408811569,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.06463457476257248,0.06463457476257248,0.061963287910352854,0.06249803677201271,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.06249803677201271,0.06303217126965265,0.06089501891507297,0.06249803677201271,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.062498048869913336,0.062498048869913336,0.06142916530370712,0.06142916530370712,15552000,0.0,0.0
1986-04-23 00:00:00-05:00,0.06142913667921391,0.0619632710313539,0.06089500232707392,0.06169620156288147,15609600,0.0,0.0
1986-04-24 00:00:00-05:00,0.06169618660916991,0.06890761527143321,0.06142912179023261,0.06783934682607651,62352000,0.0,0.0
1986-04-25 00:00:00-05:00,0.0683735042686954,0.07505080097591947,0.0683735042686954,0.07211305946111679,85795200,0.0,0.0
1986-04-28 00:00:00-04:00,0.07211304980100842,0.07318131846605092,0.07157830110465718,0.07264718413352966,28886400,0.0,0.0
1986-04-29 00:00:00-04:00,0.07264719675928935,0.07264719675928935,0.0699759102685954,0.07051004469394684,30326400,0.0,0.0
1986-04-30 00:00:00-04:00,0.07051003651396215,0.07104417087734778,0.06730523033364834,0.06890763342380524,30902400,0.0,0.0
1986-05-01 00:00:00-04:00,0.06890761527143321,0.06890761527143321,0.0667710783807198,0.06783934682607651,54345600,0.0,0.0
1986-05-02 00:00:00-04:00,0.06783934682607651,0.06890761527143321,0.06730521260339815,0.06783934682607651,20246400,0.0,0.0
1986-05-05 00:00:00-04:00,0.06783936396184131,0.06783936396184131,0.06730522960424423,0.06730522960424423,3254400,0.0,0.0
1986-05-06 00:00:00-04:00,0.06783934682607651,0.06890761527143321,0.06783934682607651,0.06783934682607651,9734400,0.0,0.0
1986-05-07 00:00:00-04:00,0.06783934682607651,0.06837348104875486,0.0667710783807198,0.06783934682607651,5155200,0.0,0.0
1986-05-08 00:00:00-04:00,0.06783934474279438,0.06837347894906998,0.06730521053651878,0.06837347894906998,3542400,0.0,0.0
1986-05-09 00:00:00-04:00,0.06837348104875486,0.06837348104875486,0.06783934682607651,0.06783934682607651,6076800,0.0,0.0
1986-05-12 00:00:00-04:00,0.06783934474279438,0.06997588156789677,0.06783934474279438,0.06837347894906998,10483200,0.0,0.0
1986-05-13 00:00:00-04:00,0.0683734990604196,0.06944176778719087,0.0683734990604196,0.06890763342380524,3830400,0.0,0.0
1986-05-14 00:00:00-04:00,0.06890761315534558,0.06890761315534558,0.06837347894906998,0.06837347894906998,9302400,0.0,0.0
1986-05-15 00:00:00-04:00,0.06837347894906998,0.06944174736162118,0.06837347894906998,0.06837347894906998,3801600,0.0,0.0
1986-05-16 00:00:00-04:00,0.0683734990604196,0.07051003651396215,0.0683734990604196,0.06890763342380524,11952000,0.0,0.0
1986-05-19 00:00:00-04:00,0.06890761527143321,0.06890761527143321,0.06730521260339815,0.06783934682607651,11001600,0.0,0.0
1986-05-20 00:00:00-04:00,0.06783936396184131,0.06783936396184131,0.06677109524664715,0.06730522960424423,61977600,0.0,0.0
1986-05-21 00:00:00-04:00,0.0673052568577611,0.06783939143164212,0.06623698770999908,0.06623698770999908,8092800,0.0,0.0
1986-05-22 00:00:00-04:00,0.06623698770999908,0.0667711222838801,0.06623698770999908,0.06623698770999908,4406400,0.0,0.0
1986-05-23 00:00:00-04:00,0.06623698770999908,0.0673052568577611,0.06623698770999908,0.06623698770999908,4089600,0.0,0.0
1986-05-27 00:00:00-04:00,0.0662369421239676,0.06837347894906998,0.0662369421239676,0.06837347894906998,13881600,0.0,0.0
1986-05-28 00:00:00-04:00,0.06837350699254109,0.07051004469394684,0.06837350699254109,0.07051004469394684,15523200,0.0,0.0
1986-05-29 00:00:00-04:00,0.07051004188498632,0.07318132826926226,0.06997590748091359,0.07211305946111679,45676800,0.0,0.0
1986-05-30 00:00:00-04:00,0.07264721897424455,0.07585202650635842,0.07264721897424455,0.07478375732898712,27072000,0.0,0.0
1986-06-02 00:00:00-04:00,0.07478372146361466,0.07478372146361466,0.07264718413352966,0.07264718413352966,19728000,0.0,0.0
1986-06-03 00:00:00-04:00,0.07264718413352966,0.07264718413352966,0.07157830110465718,0.07264718413352966,5011200,0.0,0.0
1986-06-04 00:00:00-04:00,0.07264719386518953,0.07318132826926226,0.07157831069313178,0.07211305946111679,4723200,0.0,0.0
1986-06-05 00:00:00-04:00,0.07211304028191405,0.07318130880594254,0.07157829165615091,0.07318130880594254,13708800,0.0,0.0
1986-06-06 00:00:00-04:00,0.07318130880594254,0.07318130880594254,0.07211304028191405,0.07318130880594254,3427200,0.0,0.0
1986-06-09 00:00:00-04:00,0.07318134917621,0.07318134917621,0.06997592747211456,0.06997592747211456,12672000,0.0,0.0
1986-06-10 00:00:00-04:00,0.06997592747211456,0.06997592747211456,0.06890765835877868,0.06997592747211456,3427200,0.0,0.0
1986-06-11 00:00:00-04:00,0.06997592747211456,0.06997592747211456,0.06890765835877868,0.06997592747211456,2304000,0.0,0.0
1986-06-12 00:00:00-04:00,0.06997590139222964,0.06997590139222964,0.06677109524664715,0.06730522960424423,13708800,0.0,0.0
1986-06-13 00:00:00-04:00,0.06730522960424423,0.06783936396184131,0.06677109524664715,0.06730522960424423,7891200,0.0,0.0
1986-06-16 00:00:00-04:00,0.06730523185672352,0.06783936623219629,0.06623696310577801,0.06677109748125076,9590400,0.0,0.0
1986-06-17 00:00:00-04:00,0.06730521260339815,0.06890761527143321,0.06730521260339815,0.06783934682607651,13075200,0.0,0.0
1986-06-18 00:00:00-04:00,0.06783936396184131,0.06783936396184131,0.06623696088905007,0.06730522960424423,4348800,0.0,0.0
1986-06-19 00:00:00-04:00,0.06730523185672352,0.06783936623219629,0.06623696310577801,0.06677109748125076,8467200,0.0,0.0
1986-06-20 00:00:00-04:00,0.06677110891802523,0.0673052433849863,0.06677110891802523,0.06703817844390869,3801600,0.0,0.0
1986-06-23 00:00:00-04:00,0.06703814778446086,0.06783934682607651,0.0657028099353631,0.06783934682607651,46195200,0.0,0.0
1986-06-24 00:00:00-04:00,0.06783936396184131,0.0683734983194384,0.06677109524664715,0.06730522960424423,14572800,0.0,0.0
1986-06-25 00:00:00-04:00,0.0673052568577611,0.06783939143164212,0.06623698770999908,0.06623698770999908,15235200,0.0,0.0
1986-06-26 00:00:00-04:00,0.06623699784031235,0.06677113249588414,0.06410045921802521,0.06410045921802521,19152000,0.0,0.0
1986-06-27 00:00:00-04:00,0.064100401666394,0.06463453584240103,0.06303213331437993,0.06356626749038696,10396800,0.0,0.0
1986-06-30 00:00:00-04:00,0.06356626675367505,0.06730520594239123,0.06303213258385845,0.06570280343294144,62352000,0.0,0.0
1986-07-01 00:00:00-04:00,0.06570280343294144,0.06570280343294144,0.06516866926312484,0.06570280343294144,47577600,0.0,0.0
1986-07-02 00:00:00-04:00,0.06570280343294144,0.06570280343294144,0.06516866926312484,0.06570280343294144,52617600,0.0,0.0
